id;name;genre;type;episodes;rating;members
32281;Kimi no Na wa.;Drama, Romance, School, Supernatural;Movie;1;937;200630
5114;Fullmetal Alchemist: Brotherhood;Action, Adventure, Drama, Fantasy, Magic, Military, Shounen;TV;64;926;793665
28977;Gintama°;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;51;925;114262
9253;"Steins;Gate";Sci-Fi, Thriller;TV;24;917;673572
9969;"Gintama&#039;";Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;51;916;151266
32935;Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou;Comedy, Drama, School, Shounen, Sports;TV;10;915;93351
11061;Hunter x Hunter (2011);Action, Adventure, Shounen, Super Power;TV;148;913;425855
820;Ginga Eiyuu Densetsu;Drama, Military, Sci-Fi, Space;OVA;110;911;80679
15335;Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;Movie;1;910;72534
15417;"Gintama&#039;: Enchousen";Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;13;911;81109
4181;Clannad: After Story;Drama, Fantasy, Romance, Slice of Life, Supernatural;TV;24;906;456749
28851;Koe no Katachi;Drama, School, Shounen;Movie;1;905;102733
918;Gintama;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;201;904;336376
2904;Code Geass: Hangyaku no Lelouch R2;Action, Drama, Mecha, Military, Sci-Fi, Super Power;TV;25;898;572888
28891;Haikyuu!! Second Season;Comedy, Drama, School, Shounen, Sports;TV;25;893;179342
199;Sen to Chihiro no Kamikakushi;Adventure, Drama, Supernatural;Movie;1;893;466254
23273;Shigatsu wa Kimi no Uso;Drama, Music, Romance, School, Shounen;TV;22;892;416397
24701;Mushishi Zoku Shou 2nd Season;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;TV;10;888;75894
12355;Ookami Kodomo no Ame to Yuki;Fantasy, Slice of Life;Movie;1;884;226193
1575;Code Geass: Hangyaku no Lelouch;Action, Mecha, Military, School, Sci-Fi, Super Power;TV;25;883;715151
263;Hajime no Ippo;Comedy, Drama, Shounen, Sports;TV;75;883;157670
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;Action, Drama, Historical, Martial Arts, Romance, Samurai;OVA;4;883;129307
1;Cowboy Bebop;Action, Adventure, Comedy, Drama, Sci-Fi, Space;TV;26;882;486824
30276;One Punch Man;Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural;TV;12;882;552458
164;Mononoke Hime;Action, Adventure, Fantasy;Movie;1;881;339556
7311;Suzumiya Haruhi no Shoushitsu;Comedy, Mystery, Romance, School, Sci-Fi, Supernatural;Movie;1;881;240297
17074;Monogatari Series: Second Season;Comedy, Mystery, Romance, Supernatural, Vampire;TV;26;880;205959
21939;Mushishi Zoku Shou;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;TV;10;880;101351
457;Mushishi;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;TV;26;878;300030
2001;Tengen Toppa Gurren Lagann;Action, Adventure, Comedy, Mecha, Sci-Fi;TV;27;878;562962
245;Great Teacher Onizuka;Comedy, Drama, School, Shounen, Slice of Life;TV;43;877;268487
32983;Natsume Yuujinchou Go;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;TV;13;876;38865
5258;Hajime no Ippo: New Challenger;Comedy, Drama, Shounen, Sports;TV;26;875;88995
28957;Mushishi Zoku Shou: Suzu no Shizuku;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;Movie;1;875;32266
11665;Natsume Yuujinchou Shi;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;TV;13;875;98431
431;Howl no Ugoku Shiro;Adventure, Drama, Fantasy, Romance;Movie;1;874;333186
11741;Fate/Zero 2nd Season;Action, Fantasy, Supernatural, Thriller;TV;12;873;340973
31757;Kizumonogatari II: Nekketsu-hen;Action, Mystery, Supernatural, Vampire;Movie;1;873;34347
19;Monster;Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller;TV;74;872;247562
12365;Bakuman. 3rd Season;Comedy, Drama, Romance, Shounen;TV;25;871;133620
1535;Death Note;Mystery, Police, Psychological, Supernatural, Thriller;TV;37;871;1013917
32366;Gintama°: Aizome Kaori-hen;Comedy, Parody;OVA;2;869;16947
30654;Ansatsu Kyoushitsu (TV) 2nd Season;Action, Comedy, School, Shounen;TV;25;868;176475
20583;Haikyuu!!;Comedy, Drama, School, Shounen, Sports;TV;25;868;284498
19647;Hajime no Ippo: Rising;Comedy, Drama, Shounen, Sports;TV;25;868;66756
4282;Kara no Kyoukai 5: Mujun Rasen;Action, Drama, Mystery, Romance, Supernatural, Thriller;Movie;1;868;111074
10379;Natsume Yuujinchou San;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;TV;13;867;102322
22135;Ping Pong The Animation;Psychological, Seinen, Sports;TV;11;867;97187
21329;Mushishi Special: Hihamukage;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;Special;1;866;49036
