id;name;genre;type;episodes;rating;members;aired
32281;Kimi no Na wa.;Drama, Romance, School, Supernatural;Movie;1;937.0;200630;26/08/2016
5114;Fullmetal Alchemist: Brotherhood;Action, Adventure, Drama, Fantasy, Magic, Military, Shounen;TV;64;926.0;793665;05/04/2009
28977;Gintama°;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;51;925.0;114262;08/04/2015
9253;"Steins;Gate";Sci-Fi, Thriller;TV;24;917.0;673572;06/04/2011
9969;"Gintama&#039;";Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;51;916.0;151266;04/04/2011
32935;Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou;Comedy, Drama, School, Shounen, Sports;TV;10;915.0;93351;08/10/2016
11061;Hunter x Hunter (2011);Action, Adventure, Shounen, Super Power;TV;148;913.0;425855;02/10/2011
820;Ginga Eiyuu Densetsu;Drama, Military, Sci-Fi, Space;OVA;110;911.0;80679;08/01/1988
15335;Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;Movie;1;910.0;72534;06/07/2013
15417;"Gintama&#039;: Enchousen";Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;13;911.0;81109;04/10/2012
4181;Clannad: After Story;Drama, Fantasy, Romance, Slice of Life, Supernatural;TV;24;906.0;456749;03/10/2008
28851;Koe no Katachi;Drama, School, Shounen;Movie;1;905.0;102733;17/09/2016
918;Gintama;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;TV;201;904.0;336376;04/04/2006
2904;Code Geass: Hangyaku no Lelouch R2;Action, Drama, Mecha, Military, Sci-Fi, Super Power;TV;25;898.0;572888;06/04/2008
28891;Haikyuu!! Second Season;Comedy, Drama, School, Shounen, Sports;TV;25;893.0;179342;04/10/2015
199;Sen to Chihiro no Kamikakushi;Adventure, Drama, Supernatural;Movie;1;893.0;466254;20/07/2001
23273;Shigatsu wa Kimi no Uso;Drama, Music, Romance, School, Shounen;TV;22;892.0;416397;10/10/2014
24701;Mushishi Zoku Shou 2nd Season;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;TV;10;888.0;75894;19/10/2014
12355;Ookami Kodomo no Ame to Yuki;Fantasy, Slice of Life;Movie;1;884.0;226193;21/07/2012
1575;Code Geass: Hangyaku no Lelouch;Action, Mecha, Military, School, Sci-Fi, Super Power;TV;25;883.0;715151;06/10/2006
263;Hajime no Ippo;Comedy, Drama, Shounen, Sports;TV;75;883.0;157670;04/10/2000
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;Action, Drama, Historical, Martial Arts, Romance, Samurai;OVA;4;883.0;129307;20/02/1999
1;Cowboy Bebop;Action, Adventure, Comedy, Drama, Sci-Fi, Space;TV;26;882.0;486824;03/04/1998
30276;One Punch Man;Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural;TV;12;882.0;552458;05/10/2015
164;Mononoke Hime;Action, Adventure, Fantasy;Movie;1;881.0;339556;12/07/1997
7311;Suzumiya Haruhi no Shoushitsu;Comedy, Mystery, Romance, School, Sci-Fi, Supernatural;Movie;1;881.0;240297;06/02/2010
17074;Monogatari Series: Second Season;Comedy, Mystery, Romance, Supernatural, Vampire;TV;26;880.0;205959;07/07/2013
21939;Mushishi Zoku Shou;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;TV;10;880.0;101351;05/04/2014
457;Mushishi;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;TV;26;878.0;300030;23/10/2005
2001;Tengen Toppa Gurren Lagann;Action, Adventure, Comedy, Mecha, Sci-Fi;TV;27;878.0;562962;01/04/2007
245;Great Teacher Onizuka;Comedy, Drama, School, Shounen, Slice of Life;TV;43;877.0;268487;30/06/1999
32983;Natsume Yuujinchou Go;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;TV;13;876.0;38865;05/10/2016
5258;Hajime no Ippo: New Challenger;Comedy, Drama, Shounen, Sports;TV;26;875.0;88995;07/01/2009
28957;Mushishi Zoku Shou: Suzu no Shizuku;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;Movie;1;875.0;32266;16/05/2015
11665;Natsume Yuujinchou Shi;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;TV;13;875.0;98431;03/01/2012
431;Howl no Ugoku Shiro;Adventure, Drama, Fantasy, Romance;Movie;1;874.0;333186;20/11/2004
11741;Fate/Zero 2nd Season;Action, Fantasy, Supernatural, Thriller;TV;12;873.0;340973;08/04/2012
31757;Kizumonogatari II: Nekketsu-hen;Action, Mystery, Supernatural, Vampire;Movie;1;873.0;34347;19/08/2016
19;Monster;Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller;TV;74;872.0;247562;07/04/2004
12365;Bakuman. 3rd Season;Comedy, Drama, Romance, Shounen;TV;25;871.0;133620;06/10/2012
1535;Death Note;Mystery, Police, Psychological, Supernatural, Thriller;TV;37;871.0;1013917;04/10/2006
32366;Gintama°: Aizome Kaori-hen;Comedy, Parody;OVA;2;869.0;16947;04/08/2016
30654;Ansatsu Kyoushitsu (TV) 2nd Season;Action, Comedy, School, Shounen;TV;25;868.0;176475;08/01/2016
20583;Haikyuu!!;Comedy, Drama, School, Shounen, Sports;TV;25;868.0;284498;06/04/2014
19647;Hajime no Ippo: Rising;Comedy, Drama, Shounen, Sports;TV;25;868.0;66756;06/10/2013
4282;Kara no Kyoukai 5: Mujun Rasen;Action, Drama, Mystery, Romance, Supernatural, Thriller;Movie;1;868.0;111074;16/08/2008
10379;Natsume Yuujinchou San;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;TV;13;867.0;102322;05/07/2011
22135;Ping Pong The Animation;Psychological, Seinen, Sports;TV;11;867.0;97187;11/04/2014
21329;Mushishi Special: Hihamukage;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;Special;1;866.0;49036;04/01/2014
31043;Boku dake ga Inai Machi;Mystery, Psychological, Seinen, Supernatural;TV;12;865.0;402381;08/01/2016
7785;Yojouhan Shinwa Taikei;Mystery, Psychological, Romance;TV;11;865.0;122531;23/04/2010
3297;Aria The Origination;Fantasy, Sci-Fi, Shounen, Slice of Life;TV;13;864.0;56162;08/01/2008
30709;Kamisama Hajimemashita: Kako-hen;Comedy, Demons, Fantasy, Shoujo, Supernatural;OVA;4;864.0;33422;20/08/2015
6114;Rainbow: Nisha Rokubou no Shichinin;Drama, Historical, Seinen, Thriller;TV;26;864.0;139474;07/04/2010
31240;Re:Zero kara Hajimeru Isekai Seikatsu;Drama, Fantasy, Psychological, Thriller;TV;25;864.0;355839;04/04/2016
4565;Tengen Toppa Gurren Lagann Movie: Lagann-hen;Action, Mecha, Sci-Fi, Space, Super Power;Movie;1;864.0;82253;22/04/2009
5300;Zoku Natsume Yuujinchou;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;TV;13;864.0;114173;06/01/2009
9989;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Drama, Slice of Life, Supernatural;TV;11;862.0;463835;15/04/2011
24415;Kuroko no Basket 3rd Season;Comedy, School, Shounen, Sports;TV;25;862.0;184525;11/01/2015
11577;"Steins;Gate Movie: Fuka Ryouiki no Déjà vu";Sci-Fi, Thriller;Movie;1;861.0;192424;20/04/2013
10408;Hotarubi no Mori e;Drama, Romance, Shoujo, Supernatural;Movie;1;861.0;197439;17/09/2011
32995;Yuri!!! on Ice;Comedy, Sports;TV;12;861.0;103178;06/10/2016
21899;Gintama: Yorinuki Gintama-san on Theater 2D;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;Movie;2;860.0;11104;26/08/2012
26055;JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season;Action, Adventure, Drama, Shounen, Supernatural;TV;24;860.0;93657;10/01/2015
7472;Gintama Movie: Shinyaku Benizakura-hen;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;Movie;1;859.0;51185;24/04/2010
777;Hellsing Ultimate;Action, Horror, Military, Seinen, Supernatural, Vampire;OVA;10;859.0;297454;10/02/2006
22535;Kiseijuu: Sei no Kakuritsu;Action, Drama, Horror, Psychological, Sci-Fi, Seinen;TV;24;859.0;425457;09/10/2014
12431;Uchuu Kyoudai;Comedy, Sci-Fi, Seinen, Slice of Life, Space;TV;99;859.0;72958;01/04/2012
28805;Bakemono no Ko;Adventure, Supernatural;Movie;1;858.0;80825;11/07/2015
578;Hotaru no Haka;Drama, Historical;Movie;1;858.0;174878;16/04/1988
16894;Kuroko no Basket 2nd Season;Comedy, School, Shounen, Sports;TV;25;858.0;243325;06/10/2013
5028;Major S5;Comedy, Drama, Romance, Sports;TV;25;858.0;28653;10/01/2009
21;One Piece;Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power;TV;Unknown;858.0;504862;20/10/1999
801;Ghost in the Shell: Stand Alone Complex 2nd GIG;Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen;TV;26;857.0;113993;01/01/2004
31933;JoJo no Kimyou na Bouken: Diamond wa Kudakenai;Action, Adventure, Comedy, Drama, Shounen, Supernatural;TV;39;857.0;74074;02/04/2016
5205;Kara no Kyoukai 7: Satsujin Kousatsu (Kou);Action, Mystery, Romance, Supernatural, Thriller;Movie;1;857.0;95658;08/08/2009
17389;Kingdom 2nd Season;Action, Historical, Military, Seinen;TV;39;857.0;31234;08/06/2013
170;Slam Dunk;Comedy, Drama, School, Shounen, Sports;TV;101;856.0;82570;16/10/1993
18617;Girls und Panzer der Film;Military, School;Movie;1;855.0;25641;21/11/2015
32182;Mob Psycho 100;Action, Comedy, Slice of Life, Supernatural;TV;12;855.0;193716;11/07/2016
877;Nana;Comedy, Drama, Music, Romance, Shoujo, Slice of Life;TV;47;855.0;197256;05/04/2006
2251;Baccano!;Action, Comedy, Historical, Mystery, Seinen, Supernatural;TV;13;854.0;363215;27/07/2007
24687;Mushishi Zoku Shou: Odoro no Michi;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;Special;1;854.0;34011;20/08/2014
16498;Shingeki no Kyojin;Action, Drama, Fantasy, Shounen, Super Power;TV;25;854.0;896229;07/04/2013
10030;Bakuman. 2nd Season;Comedy, Drama, Romance, Shounen;TV;25;853.0;151561;01/10/2011
5941;Cross Game;Comedy, Drama, Romance, School, Sports;TV;50;853.0;53108;05/04/2009
30346;Doukyuusei (Movie);Romance, School, Shounen Ai, Slice of Life;Movie;1;853.0;28864;20/02/2016
3784;Evangelion: 2.0 You Can (Not) Advance;Action, Mecha, Sci-Fi;Movie;1;853.0;182224;27/07/2009
13125;Shinsekai yori;Drama, Horror, Mystery, Sci-Fi, Supernatural;TV;25;853.0;288376;29/09/2012
12029;Uchuu Senkan Yamato 2199;Action, Drama, Military, Sci-Fi, Space;OVA;26;853.0;44223;25/05/2012
10087;Fate/Zero;Action, Fantasy, Supernatural;TV;13;851.0;453630;02/10/2011
14719;JoJo no Kimyou na Bouken (TV);Action, Adventure, Shounen, Supernatural, Vampire;TV;26;851.0;190197;06/10/2012
9756;Mahou Shoujo Madoka?Magica;Drama, Magic, Psychological, Thriller;TV;12;851.0;462974;07/01/2011
10165;Nichijou;Comedy, School, Slice of Life;TV;26;852.0;254436;03/04/2011
13601;Psycho-Pass;Action, Police, Psychological, Sci-Fi;TV;22;850.0;509109;12/10/2012
22789;Barakamon;Comedy, Slice of Life;TV;12;850.0;225927;06/07/2014
30230;Diamond no Ace: Second Season;Comedy, School, Shounen, Sports;TV;51;850.0;38531;06/04/2015
18115;Magi: The Kingdom of Magic;Action, Adventure, Fantasy, Magic, Shounen;TV;25;850.0;245026;06/10/2013
11981;Mahou Shoujo Madoka?Magica Movie 3: Hangyaku no Monogatari;Drama, Magic, Psychological, Thriller;Movie;1;850.0;135735;26/10/2013
11917;Major: World Series;Comedy, Drama, Sports;OVA;2;850.0;13405;16/12/2011
205;Samurai Champloo;Action, Adventure, Comedy, Historical, Samurai, Shounen;TV;26;850.0;390076;20/05/2004
6594;Katanagatari;Action, Adventure, Historical, Martial Arts, Romance;TV;12;849.0;207241;26/01/2010
11979;Mahou Shoujo Madoka?Magica Movie 2: Eien no Monogatari;Drama, Magic, Psychological, Thriller;Movie;1;849.0;85361;13/10/2012
7655;Major S6;Comedy, Drama, Sports;TV;25;849.0;24788;03/04/2010
2246;Mononoke;Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural;TV;12;849.0;88850;13/07/2007
25835;Shirobako;Comedy, Drama;TV;24;849.0;146895;09/10/2014
2921;Ashita no Joe 2;Drama, Sports;TV;47;848.0;6259;13/10/1980
136;Hunter x Hunter;Action, Adventure, Shounen, Super Power;TV;62;848.0;166255;16/10/1999
30503;Noragami Aragoto;Action, Adventure, Shounen, Supernatural;TV;13;848.0;299434;03/10/2015
523;Tonari no Totoro;Adventure, Comedy, Supernatural;Movie;1;848.0;271484;16/04/1988
467;Ghost in the Shell: Stand Alone Complex;Action, Mecha, Military, Police, Sci-Fi, Seinen;TV;26;847.0;194491;01/10/2002
572;Kaze no Tani no Nausicaä;Adventure, Fantasy;Movie;1;847.0;143273;11/03/1984
2559;Romeo no Aoi Sora;Adventure, Drama, Historical, Slice of Life;TV;33;847.0;15074;15/01/1995
392;Yuu?Yuu?Hakusho;Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen;TV;112;847.0;195017;10/10/1992
486;Kino no Tabi: The Beautiful World;Action, Adventure, Slice of Life;TV;13;846.0;102822;08/04/2003
11771;Kuroko no Basket;Comedy, School, Shounen, Sports;TV;25;846.0;338315;08/04/2012
5341;Ookami to Koushinryou II;Adventure, Fantasy, Historical, Romance;TV;12;846.0;210491;09/07/2009
25781;Shingeki no Kyojin: Kuinaki Sentaku;Action, Fantasy, Shoujo, Supernatural;OVA;2;845.0;92543;09/12/2014
10863;"Steins;Gate: Oukoubakko no Poriomania";Sci-Fi, Thriller;Special;1;846.0;159548;22/02/2012
28701;Fate/stay night: Unlimited Blade Works 2nd Season;Action, Fantasy, Magic, Shounen, Supernatural;TV;13;845.0;205987;05/04/2015
5420;Kemono no Souja Erin;Drama, Fantasy;TV;50;845.0;36751;10/01/2009
9260;Kizumonogatari I: Tekketsu-hen;Mystery, Supernatural, Vampire;Movie;1;845.0;99579;08/01/2016
32;Neon Genesis Evangelion: The End of Evangelion;Dementia, Drama, Mecha, Psychological, Sci-Fi;Movie;1;845.0;215630;19/07/1997
4224;Toradora!;Comedy, Romance, School, Slice of Life;TV;25;845.0;633817;02/10/2008
2236;Toki wo Kakeru Shoujo;Adventure, Drama, Romance, Sci-Fi;Movie;1;844.0;289206;15/07/2006
2685;Tsubasa: Tokyo Revelations;Action, Adventure, Drama, Fantasy, Romance, Shounen;OVA;3;844.0;57963;16/11/2007
31181;Owarimonogatari;Comedy, Mystery, Supernatural;TV;12;843.0;107855;04/10/2015
45;Rurouni Kenshin: Meiji Kenkaku Romantan;Action, Adventure, Comedy, Historical, Romance, Samurai;TV;94;843.0;218928;10/01/1996
2418;Stranger: Mukou Hadan;Action, Adventure, Historical, Samurai;Movie;1;843.0;125503;29/09/2007
1365;Detective Conan Movie 06: The Phantom of Baker Street;Adventure, Mystery, Police, Shounen;Movie;1;842.0;28462;20/04/2002
22297;Fate/stay night: Unlimited Blade Works;Action, Fantasy, Magic, Shounen, Supernatural;TV;12;842.0;267484;12/10/2014
627;Major S1;Comedy, Drama, Shounen, Sports;TV;26;842.0;41061;13/11/2004
10937;Mobile Suit Gundam: The Origin;Action, Mecha, Military, Sci-Fi, Shounen, Space;OVA;6;842.0;15420;24/04/2015
4081;Natsume Yuujinchou;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;TV;13;842.0;210736;08/07/2008
